name	level	cui
methylrosaniline	5.0	C0301302
dimenhydrinate	5.0	C0012381
fedrilate	5.0	C0771169
encainide	5.0	C0085251
edrecolomab	5.0	C0279218
ulobetasol	5.0	C0082787
tretinoin	5.0	C0040845
ebola vaccines	5.0	C1449556
mumps, live attenuated	5.0	C3652430
fomepizole	5.0	C0048504
fludroxycortide and antibiotics	5.0	C3652975
carisoprodol	5.0	C0007248
nicotinyl alcohol	5.0	C0028053
camphora	5.0	C1101425
tiropramide	5.0	C0076723
irbesartan, amlodipine and hydrochlorothiazide	5.0	C5227833
tucatinib	5.0	C4519167
dibutylphthalate	5.0	C0012052
amfetamine	5.0	C0002658
apremilast	5.0	C1678805
gentamicin	5.0	C3854019
neostigmine	5.0	C0027679
hymecromone	5.0	C0020411
salbutamol	5.0	C0001927
oxybutynin	5.0	C0069805
aceclofenac	5.0	C0050403
metformin and rosiglitazone	5.0	C1620263
melanoma vaccine	5.0	C0796561
fluorometholone	5.0	C0016351
mepartricin	5.0	C0025373
ephedrine	5.0	C0014479
microparticles of galactose	5.0	C0593516
dibrompropamidine	5.0	C0057799
helium	5.0	C0018880
diltiazem	5.0	C0012373
inosine	5.0	C0021528
textile allergenic extracts	5.0	C3541398
citric acid	5.0	C0055819
tamsulosin and dutasteride	5.0	C2926870
euflavine	5.0	C0001187
andexanet alfa	5.0	C4079904
cevimeline	5.0	C0093437
pyridoxal phosphate	5.0	C0034266
clioquinol, combinations	5.0	C3653089
linseed, combinations	5.0	C3652427
streptomycin	5.0	C0038425
phenindione	5.0	C0031406
raltitrexed	5.0	C0677667
methaqualone, combinations	5.0	C3652846
methylergometrine	5.0	C0025760
timolol	5.0	C0040233
technetium (99mTc) apcitide	5.0	C3652475
camazepam	5.0	C0006795
talinolol	5.0	C0075783
amfepramone	5.0	C0012201
amorolfine	5.0	C0051736
silver	5.0	C0037125
gadoxetic acid	5.0	C3489483
botulinum toxin	5.0	C0006055
ferrous amino acid complex and folic acid	5.0	C5783238
dasabuvir, ombitasvir, paritaprevir and ritonavir	5.0	C3882783
heparin	5.0	C0019134
periciazine	5.0	C0033459
chondroitin sulfate-iron complex	5.0	C3652666
pentamycin	5.0	C0060838
plague, inactivated, whole cell	5.0	C3652515
prednisolone	5.0	C0032950
nystatin	5.0	C0028741
ferrous chloride	5.0	C0060275
loperamide	5.0	C0023992
haemophilus influenzae B and poliomyelitis	5.0	C3652761
ketamine	5.0	C0022614
alimemazine	5.0	C0041031
acetylleucine	5.0	C0256552
acetylglycinamide chloral hydrate	5.0	C3652942
cyclothiazide and potassium	5.0	C3652788
betaxolol, combinations	5.0	C3653173
metoprolol and acetylsalicylic acid	5.0	C4301621
chlorhexidine	5.0	C0008196
kanamycin	5.0	C0022487
sarilumab	5.0	C3885145
terguride	5.0	C0058446
adapalene, combinations	5.0	C3653185
avelumab	5.0	C4055417
alminoprofen	5.0	C0051247
cefozopran	5.0	C0246584
collagen	5.0	C0009325
diosmin, combinations	5.0	C3652441
omoconazole	5.0	C0069488
voriconazole	5.0	C0393080
iobenguane (123I)	5.0	C2369192
combinations of corticosteroids	5.0	C2137694
ancestim	5.0	C0538777
norethisterone and ethinylestradiol	5.0	C1260235
acarbose	5.0	C0050393
aluminium chlorohydrate	5.0	C0051511
alprenolol	5.0	C0002334
octenidine	5.0	C0069351
nifuratel	5.0	C0028070
imlifidase	5.0	C5139878
necitumumab	5.0	C2352806
capreomycin	5.0	C0262964
ribostamycin	5.0	C0035554
gemigliptin	5.0	C3501981
triprolidine	5.0	C0041098
atazanavir and ritonavir	5.0	C1977391
sodium iothalamate (125I)	5.0	C0304984
biperiden	5.0	C0005578
saccharated iron oxide	5.0	C0060241
sorbitol	5.0	C0037688
bilastine	5.0	C1101148
dexbrompheniramine, combinations	5.0	C3653156
cefmenoxime	5.0	C0007549
milrinone	5.0	C0128513
vonoprazan, amoxicillin and metronidazole	5.0	C5227845
pridinol, combinations	5.0	C5783061
oxitriptan	5.0	C0000578
fipexide	5.0	C0060394
epomediol	5.0	C0059459
monoethanolamine oleate	5.0	C0059699
ciprofloxacin	5.0	C0008809
artesunate, sulfadoxine and pyrimethamine	5.0	C3660206
esomeprazole, amoxicillin and clarithromycin	5.0	C3652898
glucose	5.0	C0017725
fluvoxamine	5.0	C0085228
daclatasvir, asunaprevir and beclabuvir	5.0	C5227824
methdilazine	5.0	C0066101
epoprostenol	5.0	C0033567
theophylline, combinations excl. psycholeptics	5.0	C3653200
ganciclovir	5.0	C0017066
octenidine, combinations	5.0	C3652819
nikethamide	5.0	C0028089
narcobarbital	5.0	C0072155
fedratinib	5.0	C3886623
dextromethorphan, combinations	5.0	C3653154
magnesium aspartate	5.0	C0543448
acetylcarnitine	5.0	C0001040
doripenem	5.0	C0389169
nafarelin	5.0	C0064906
tolperisone	5.0	C0040382
timolol and thiazides	5.0	C3652703
metenolone	5.0	C0025639
troleandomycin	5.0	C0041165
pholcodine	5.0	C0070742
ergotamine, combinations with psycholeptics	5.0	C3653253
atropine	5.0	C0004259
trometamol	5.0	C0041175
technetium (99mTc) tin colloid	5.0	C3652469
calcium pantothenate	5.0	C0006710
povidone-iodine	5.0	C0032857
suxibuzone	5.0	C0075667
thioacetazone	5.0	C0039834
ethenzamide, combinations with psycholeptics	5.0	C3653252
ulinastatin	5.0	C0077906
propenidazole	5.0	C1882489
hydroxyzine	5.0	C0020404
methyclothiazide	5.0	C0025696
cefteram	5.0	C0108946
pindolol	5.0	C0031937
ketotifen	5.0	C0022642
caplacizumab	5.0	C3713057
technetium (99mTc) bicisate	5.0	C0378335
dantron, combinations	5.0	C3653159
oseltamivir	5.0	C0874161
butalamine	5.0	C0644503
amphotericin B	5.0	C0002679
phenprocoumon	5.0	C0031444
oxomemazine	5.0	C0768401
captopril and diuretics	5.0	C0358689
technetium (99mTc) tetrofosmin	5.0	C0211492
tretinoin, combinations	5.0	C3653102
abatacept	5.0	C1619966
mepyramine	5.0	C0034282
fostamatinib	5.0	C2713632
triamcinolone and antiseptics	5.0	C3653137
ranitidine bismuth citrate	5.0	C0139919
chorionic gonadotrophin	5.0	C0018062
niridazole	5.0	C0028113
etretinate	5.0	C0015137
dapoxetine	5.0	C0215087
evogliptin	5.0	C4279601
triflupromazine	5.0	C0040989
metandienone	5.0	C0025616
haloperidol	5.0	C0018546
fosravuconazole	5.0	C5139863
cyproterone	5.0	C0010621
levonorgestrel	5.0	C0023566
suloctidil	5.0	C0038795
trapidil	5.0	C0040779
papillomavirus (human types 16, 18)	5.0	C3652490
veliparib	5.0	C1958300
tyrothricin	5.0	C0041499
cyclopenthiazide and potassium-sparing agents	5.0	C3652900
lansoprazole, amoxicillin and levofloxacin	5.0	C3871445
heparin, combinations	5.0	C3653127
tofisopam	5.0	C0076784
cadmium compounds	5.0	C3536934
sodium fluoride	5.0	C0037508
propacetamol	5.0	C0084186
retigabine	5.0	C0530684
primidone	5.0	C0033148
tiracizine	5.0	C0145975
ipecacuanha	5.0	C0022046
idursulfase beta	5.0	C4542170
lisinopril	5.0	C0065374
flumetasone	5.0	C0016294
methylestrenolone	5.0	C0650248
fenbendazole	5.0	C0015821
desmopressin	5.0	C0011701
clemastine, combinations	5.0	C3653091
iobenzamic acid	5.0	C0063744
technetium (99mTc) hynic-octreotide	5.0	C3652448
hydrocortisone and antiseptics	5.0	C3652965
tramadol and dexketoprofen	5.0	C4301630
sodium picosulfate	5.0	C0071042
ceftibuten	5.0	C0055014
carbon dioxide producing drugs	5.0	C3652995
amrubicin	5.0	C0762659
nimesulide	5.0	C0132515
sodium fluoride, combinations	5.0	C3652828
ethylestrenol	5.0	C0015099
clofenotane	5.0	C0011041
dactinomycin	5.0	C0010934
cyclizine	5.0	C0010547
phenazone, combinations excl. psycholeptics	5.0	C3653194
bevacizumab	5.0	C0796392
imeglimin	5.0	C3501765
obiltoxaximab	5.0	C4224790
indium (111In) pentetreotide	5.0	C0379955
cefapirin	5.0	C0007737
nifurzide	5.0	C0068746
brodimoprim	5.0	C0054084
beclometasone	5.0	C0004905
methylscopolamine	5.0	C0301374
pheneticillin	5.0	C0070557
cibenzoline	5.0	C0055720
felodipine	5.0	C0015772
histapyrrodine, combinations	5.0	C3653120
glycerol	5.0	C0017861
betacarotene	5.0	C0053396
roxadustat	5.0	C4310578
gonadotropin combinations	5.0	C3540031
nebivolol	5.0	C0068475
osimertinib	5.0	C4058811
pirarubicin	5.0	C0071126
fluoride, combinations	5.0	C3652870
pindolol and other diuretics	5.0	C3653051
propiverine	5.0	C0138666
salicylamide, combinations with psycholeptics	5.0	C3653223
formestane	5.0	C0048306
raloxifene	5.0	C0244404
cyclandelate	5.0	C0010525
albumin tannate, combinations	5.0	C3653184
nilvadipine	5.0	C0132512
loprazolam	5.0	C0077013
methylthioninium chloride	5.0	C0025746
telmisartan and amlodipine	5.0	C2733369
physostigmine	5.0	C0031849
everolimus	5.0	C0541315
lorlatinib	5.0	C4080091
triclofos	5.0	C0077073
pentostatin	5.0	C0030896
difetarsone	5.0	C1322006
formocortal	5.0	C3652565
sodium sulfate	5.0	C0074769
dengue virus vaccines	5.0	C5577610
dimefline	5.0	C0058192
dichloralphenazone	5.0	C0057831
hemoglobin raffimer	5.0	C0384641
technetium (99mTc) votumumab	5.0	C3652647
mafenide	5.0	C0024452
natamycin	5.0	C0027444
etacrynic acid	5.0	C0014963
belatacept	5.0	C1619962
telmisartan, amlodipine and hydrochlorothiazide	5.0	C5783062
azithromycin	5.0	C0052796
choline theophyllinate and adrenergics	5.0	C3652797
lutetium (177Lu) vipivotide tetraxetan	5.0	C4308025
papillomavirus (human types 6, 11, 16, 18)	5.0	C3652498
elotuzumab	5.0	C1832049
bromazine	5.0	C0054120
medrogestone and estrogen	5.0	C3652746
voglibose	5.0	C0532578
indocyanine green	5.0	C0021234
cyanocobalamin	5.0	C0042845
etilefrine	5.0	C0015116
canrenone	5.0	C0006882
telavancin	5.0	C1453642
olmutinib	5.0	C4301624
diphtheria-haemophilus influenzae B-pertussis-tetanus-hepatitis B	5.0	C3652657
trimetrexate	5.0	C0085176
calcium pangamate	5.0	C0006709
iobitridol	5.0	C0296806
naphazoline	5.0	C0027373
idanpramine	5.0	C3652682
gallamine	5.0	C0016971
chlormidazole	5.0	C0055375
iodoxamic acid	5.0	C0063803
flosequinan	5.0	C0060470
sodium tartrate	5.0	C0142931
fenoterol	5.0	C0015840
potassium clorazepate	5.0	C0009033
nirmatrelvir and ritonavir	5.0	C5564905
bendamustine	5.0	C0525079
flurazepam	5.0	C0016375
sotrovimab	5.0	C5433947
acriflavinium chloride	5.0	C0981809
galantamine	5.0	C0016967
acebutolol and thiazides	5.0	C3652986
brentuximab vedotin	5.0	C2973446
sodium picosulfate, combinations	5.0	C3652827
chlormadinone and ethinylestradiol	5.0	C3652911
metformin and saxagliptin	5.0	C2960912
lisinopril and amlodipine	5.0	C3652804
combinations of xanthines	5.0	C3653128
polycarbophil calcium	5.0	C0054480
bezitramide	5.0	C0053535
mogamulizumab	5.0	C2987603
butorphanol	5.0	C0006491
glymidine	5.0	C0351000
rofecoxib	5.0	C0762662
gadobenic acid	5.0	C0246154
etohexadiol	5.0	C3652693
lorajmine	5.0	C0024001
ingenol mebutate	5.0	C2825682
amino acids	5.0	C0002520
tamsulosin and solifenacin	5.0	C3652708
cinepazide	5.0	C0055740
ethyl esters of iodised fatty acids	5.0	C0361921
tranexamic acid	5.0	C0040613
rosuvastatin and ramipril	5.0	C5227842
glimepiride and rosiglitazone	5.0	C1654733
silicones	5.0	C0037114
citalopram	5.0	C0008845
fluspirilene	5.0	C0016383
rituximab	5.0	C0393022
nefazodone	5.0	C0068485
methohexital	5.0	C0025668
metacycline	5.0	C0025603
etoricoxib	5.0	C0972314
atorvastatin and ezetimibe	5.0	C3643658
halothane	5.0	C0018549
alclofenac	5.0	C0001937
magnesium orotate	5.0	C0536004
fosinopril and diuretics	5.0	C3653036
fexapotide	5.0	C4759129
remoxipride	5.0	C0073047
methyclothiazide and potassium	5.0	C3652743
magnesium gluconate	5.0	C0126777
pirbuterol	5.0	C0071129
triclosan	5.0	C0040958
krypton (81mKr) gas	5.0	C0361485
electrolytes in combination with other drugs	5.0	C3653254
iodoheparinate	5.0	C3652597
flucytosine	5.0	C0016278
fenoldopam	5.0	C0060180
azilsartan medoxomil	5.0	C2698291
donepezil and memantine	5.0	C3652776
maribavir	5.0	C1508759
chlorphenamine	5.0	C0008281
benzydamine	5.0	C0005099
alendronic acid and alfacalcidol, sequential	5.0	C3652938
vancomycin	5.0	C0042313
barnidipine	5.0	C0078703
vadadustat	5.0	C4519730
ibuprofen	5.0	C0020740
levodopa and decarboxylase inhibitor	5.0	C3653004
ethanol	5.0	C0001962
fentanyl	5.0	C0015846
methoserpidine	5.0	C0771017
ciprofibrate	5.0	C0055775
fluocinolone acetonide and antiinfectives	5.0	C3652908
dulaglutide	5.0	C3179549
isotretinoin	5.0	C0022265
g-strophanthin	5.0	C0029904
propyliodone	5.0	C0033509
clofezone	5.0	C0650237
methylprednisolone and antibiotics	5.0	C3652954
butanilicaine	5.0	C0054241
fluorometholone and mydriatics	5.0	C3652765
megestrol and ethinylestradiol	5.0	C3652787
oxametacin	5.0	C2698676
technetium (99mTc) nanocolloid	5.0	C3652461
amobarbital	5.0	C0002640
sterculia, combinations	5.0	C3652823
decamethrin	5.0	C0057233
urate oxidase	5.0	C0041931
rifaximin	5.0	C0073374
dimethylcarbate	5.0	C3652659
mebendazole	5.0	C0025023
butaperazine	5.0	C0006481
doxylamine	5.0	C0013092
ibuprofen, combinations	5.0	C3653108
deferasirox	5.0	C1619629
chondrocytes, autologous	5.0	C3652916
indanazoline	5.0	C0063449
dornase alfa (desoxyribonuclease)	5.0	C1135662
lipegfilgrastim	5.0	C3640212
pralsetinib	5.0	C5226874
brexpiprazole	5.0	C3885614
hydrocortisone	5.0	C0020268
dezocine	5.0	C0057626
otilonium bromide	5.0	C0134250
prednisolone and mydriatics	5.0	C3652988
avalglucosidase alfa	5.0	C5418318
omidenepag	5.0	C4759135
bisacodyl	5.0	C0005632
bromides	5.0	C0006222
etilevodopa and decarboxylase inhibitor	5.0	C3653005
dextran	5.0	C0086140
chloropyramine	5.0	C0055445
ketanserin	5.0	C0022616
thiamphenicol	5.0	C0039854
dexmedetomidine	5.0	C0113293
ergoloid mesylates	5.0	C0014708
pyritinol	5.0	C0034295
metoprolol and thiazides, combinations	5.0	C3652890
tolrestat	5.0	C0076808
fusafungine	5.0	C0060879
naratriptan	5.0	C0540623
dexetimide	5.0	C0011785
proxyphylline	5.0	C0072511
glyceryl trinitrate, combinations	5.0	C3652864
dupilumab	5.0	C3660996
efalizumab	5.0	C1174995
methoxsalen	5.0	C0025684
lidocaine	5.0	C0023660
protiofate	5.0	C2698906
sodium chloride	5.0	C0037494
ferrous sulfate	5.0	C0060282
dibenzepin	5.0	C0012030
esflurbiprofen	5.0	C2825249
meldonium	5.0	C0047115
flortaucipir (18F)	5.0	C4742689
ziprasidone	5.0	C0380393
lansoprazole, amoxicillin and clarithromycin	5.0	C0717419
glatiramer acetate	5.0	C0289884
cholinesterase	5.0	C0728810
flutrimazole	5.0	C0172907
candesartan	5.0	C0717550
alglucerase	5.0	C0102139
grass pollen	5.0	C0440307
prulifloxacin	5.0	C0527129
fibrinogen (125I)	5.0	C0982156
ombitasvir, paritaprevir and ritonavir	5.0	C3864967
isoniazid	5.0	C0022209
tixagevimab and cilgavimab	5.0	C5564078
methyldopa (racemic)	5.0	C3652552
indium (111In) capromab pendetide	5.0	C2959379
gramicidin	5.0	C0018165
cefiderocol	5.0	C4548369
ganaxolone	5.0	C0537150
risankizumab	5.0	C4505511
paroxetine	5.0	C0070122
estradiol, combinations	5.0	C3652876
glasdegib	5.0	C4519273
mezlocillin	5.0	C0025893
nebivolol and thiazides	5.0	C3652736
viminol	5.0	C0078240
nifedipine, combinations	5.0	C3652829
carboprost	5.0	C0007047
erythromycin	5.0	C0014806
trimetaphan	5.0	C0041040
galcanezumab	5.0	C4694273
mercuric iodide	5.0	C0065988
olaratumab	5.0	C2698152
plazomicin	5.0	C3502652
cascara, combinations	5.0	C3652885
teprenone	5.0	C0061231
insulin lispro	5.0	C0293359
thrombin	5.0	C0040018
dequalinium	5.0	C0011588
ifenprodil	5.0	C0063340
enviomycin	5.0	C0014405
podophyllotoxin	5.0	C0032334
defibrotide	5.0	C0057257
metixene	5.0	C0066139
tetryzoline	5.0	C0076286
metformin and canagliflozin	5.0	C3848705
elapegademase	5.0	C4731737
ruxolitinib	5.0	C2931926
mitoxantrone	5.0	C0026259
pyrvinium	5.0	C0072804
meticillin	5.0	C0025643
berotralstat	5.0	C5392453
acetylcysteine	5.0	C0001047
urokinase	5.0	C0042071
vosoritide	5.0	C4519745
cisapride	5.0	C0072916
fimasartan and amlodipine	5.0	C5227828
mesna	5.0	C0000294
stannous fluoride	5.0	C0038143
pacritinib	5.0	C3467842
cytomegalovirus immunoglobulin	5.0	C0057002
domiphen	5.0	C0058677
tranylcypromine	5.0	C0040778
tianeptine	5.0	C0076652
methyl aminolevulinate	5.0	C1134467
calcium aminosalicylate	5.0	C0301333
acetohexamide	5.0	C0000992
rosuvastatin, amlodipine and perindopril	5.0	C4542176
alfuzosin and finasteride	5.0	C3653190
nicofetamide	5.0	C3652677
methotrexate	5.0	C0025677
pirprofen	5.0	C0071152
yellow fever, live attenuated	5.0	C0301508
acetylcholine	5.0	C0001041
lactobacillus	5.0	C0022938
gilteritinib	5.0	C3896940
piperacillin	5.0	C0031955
technetium (99mTc) rheniumsulfide colloid	5.0	C3652646
procaine	5.0	C0033218
risedronic acid, calcium and colecalciferol, sequential	5.0	C3652713
doxycycline	5.0	C0013090
lindane	5.0	C0005038
bumetanide	5.0	C0006376
diiodohydroxyquinoline	5.0	C0012341
tramadol and paracetamol	5.0	C1169987
decamethoxine	5.0	C0057232
barbiturates in combination with other drugs	5.0	C3541358
nadroparin	5.0	C0206232
emtricitabine, tenofovir alafenamide and bictegravir	5.0	C4542162
zolpidem	5.0	C0078839
sulfapyridine	5.0	C0038710
brompheniramine	5.0	C0006246
alteplase	5.0	C0032143
pegteograstim	5.0	C4288415
colfosceril palmitate	5.0	C0216971
dihydrocodeine and other non-opioid analgesics	5.0	C4301613
durvalumab	5.0	C4055109
maralixibat chloride	5.0	C5418449
sodium nitrite	5.0	C0037532
abciximab	5.0	C0288672
chlorbenzoxamine	5.0	C2699179
fat emulsions	5.0	C0304483
iopentol	5.0	C0063815
desoximetasone	5.0	C0011707
bevantolol	5.0	C0053532
enoxacin	5.0	C0014310
feprazone, combinations	5.0	C3652871
tamsulosin and tadalafil	5.0	C5227843
Insulins and analogs for injection, intermediate-acting combined with fast-acting- combinations	5.0	C3539967
betrixaban	5.0	C2698385
peginterferon alfa-2b	5.0	C0796545
methyldopa (levorotatory) and diuretics	5.0	C3653030
nicotinyl methylamide	5.0	C3652544
arterolane and piperaquine	5.0	C4301605
zoster, live attenuated	5.0	C1720918
erlotinib	5.0	C1135135
pramocaine	5.0	C0071810
tramadol and other non-opioid analgesics	5.0	C4301631
pantoprazole	5.0	C0081876
diflucortolone	5.0	C0012227
landiolol	5.0	C0905464
rifampicin and isoniazid	5.0	C0358905
cloridarol	5.0	C0055892
mebutizide and potassium-sparing agents	5.0	C3652956
chlorothiazide	5.0	C0008273
taurolidine	5.0	C0144567
azanidazole	5.0	C0052751
ponatinib	5.0	C2987417
typhus exanthematicus, inactivated, whole cell	5.0	C3652445
13C-urea	5.0	C0732290
somatostatin	5.0	C0037659
brigatinib	5.0	C4287815
daclizumab	5.0	C0663182
aflibercept	5.0	C1134659
luliconazole	5.0	C1956280
dicloxacillin	5.0	C0012093
azathioprine	5.0	C0004482
octreotide	5.0	C0028833
ethambutol	5.0	C0014964
ciltacabtagene autoleucel	5.0	C4727630
phenylpropanolamine, combinations	5.0	C3652606
etilefrine, combinations	5.0	C3652873
lamivudine	5.0	C0209738
senna glycosides, combinations	5.0	C3652833
penbutolol and other diuretics	5.0	C3653047
risedronic acid and colecalciferol	5.0	C3871430
insulin degludec	5.0	C3491971
vecuronium	5.0	C0242531
ferric oxide polymaltose complexes	5.0	C3652639
arsthinol	5.0	C0301341
thiopropazate	5.0	C0076513
rifamycin	5.0	C0073371
kebuzone	5.0	C0064324
ceritinib	5.0	C3818721
carisbamate	5.0	C1871983
decitabine	5.0	C0049065
brincidofovir	5.0	C3886763
norfenefrine	5.0	C0068986
carbocisteine	5.0	C0006992
zoster, purified antigen	5.0	C4542180
aldesulfone sodium	5.0	C0144098
selexipag	5.0	C2000145
phenylbutazone and corticosteroids	5.0	C3653050
xipamide	5.0	C0043355
lofexidine	5.0	C0065152
meclozine, combinations	5.0	C3652852
labetalol and thiazides	5.0	C3652751
cilansetron	5.0	C0249289
oleandomycin	5.0	C0028923
hachimycin	5.0	C0062076
conestat alfa	5.0	C3195420
fludeoxyglucose (18F)	5.0	C0046056
clomocycline	5.0	C0055923
normethadone	5.0	C0069008
Long-acting sulfonamide combinations	5.0	C3539959
minaprine	5.0	C0066561
melevodopa and decarboxylase inhibitor	5.0	C3653003
calcitonin (salmon synthetic)	5.0	C0073994
alprostadil	5.0	C0002335
telaprevir	5.0	C1876229
bumetanide and potassium-sparing agents	5.0	C3652982
triamcinolone and antibiotics	5.0	C3653069
ribociclib	5.0	C4045494
hemoglobin crosfumaril	5.0	C3652511
sodium iodohippurate (131I)	5.0	C0304987
propylthiouracil	5.0	C0033511
dexamethasone	5.0	C0011777
fenoterol and ipratropium bromide	5.0	C3700405
alprazolam	5.0	C0002333
umifenovir	5.0	C0254211
lacosamide	5.0	C0893761
cefixime and azithromycin	5.0	C5783046
chromium (51Cr) chromate labelled cells	5.0	C3652665
oxedrine, combinations	5.0	C3652816
clopamide and potassium	5.0	C3652795
ripasudil	5.0	C4045501
isoprenaline	5.0	C0022245
phospholipids	5.0	C0031676
carbachol	5.0	C0006945
dimethylphthalate	5.0	C0058224
valproic acid	5.0	C0042291
famotidine	5.0	C0015620
fluorometholone and antiinfectives	5.0	C3652766
pinazepam	5.0	C0071082
belotecan	5.0	C0762737
dirithromycin	5.0	C0058445
